name,path,country,network,date,token_freq,text
20200324_RU_ITAR TASS_NEXIS646052.txt,Raw text/RUClean/20200324_RU_ITAR TASS_NEXIS646052.txt,RU,ITAR,20200324,20,NEWSROUNDUP TASS news roundup 2145 Moscow time March 24 MEETING WITH PRESIDENT MOSCOW Russian President Vladimir Putin has pointed to the wellcoordinated highquality work of the staff at the hospital in Moscows community of Kommunarka where suspected coronavirus patients are located According to Rossiya 24 television the president said as much at a meeting during his visit to the hospital Russian Prime Minister Mikhail Mishustin provides a daily report to President Putin regarding the spread of the novel coronavirus COVID19 in the country NOVOOGARYOVO There is no real picture of the COVID2019 situation in Russian regions Moscow Mayor Sergei Sobyanin About 500 people in Moscow are suspected to be infected with the novel coronavirus Sobyanin said Moscow plans to increase the number of beds in hospitals that will specialize in treating coronavirus patientshe said Sobyanin suggested people older than 65 living in all Russian million cities be placed under quarantine in the wake of the novel coronavirus pandemic COVID19 IN RUSSIA MOSCOW The number of the novel coronavirus cases in Russia has grown by 57 to 495 over the past day and a total of 22 patients have recovered the anticoronavirus crisis center told reporters Five people have been discharged over the past 24 hours and the total number of those who have recovered is 22 More than 93000 people remain under medical observation for the coronavirus in Russia the Federal Service for Surveillance on Consumer Rights Protection and Human Wellbeing said MOSCOW The State Dumas Council will meet in urgent session on March 25 to discuss proposed amendments introducing imprisonment and heavy fines for violations of sanitary and epidemiological rules the pressservice of the lower house of parliament said Violations of sanitary and epidemiological rules that result in the death of two or more persons may be punishable with prison terms for up to seven years the news release says POSTPONEMENT OF 2020 OLYMPICS IN TOKYO TASS The International Olympic Committee IOC announced on Tuesday a decision to postpone the organization of the 2020 Summer Olympic Games in Tokyo until next year the IOC press service said in a statement The International Paralympic Committee IPC has announced its decision to postpone for a period of one year the 2020 Summer Paralympics in Japan due to the ongoing global spread of the novel coronavirus the IPC press service said in a statement MOSCOW The Russian Sports Ministry treats with respect a decision of the International Olympic Committee IOC to postpone the 2020 Summer Games in Tokyo as a preventive measure against the ongoing global spread of the novel coronavirus Russian Sports Minister Oleg Matytsin said Stanislav Pozdnyakov the president of the Russian Olympic Committee ROC said it was the right decision for the International Olympic Committee IOC and the Japanese organizing committee to postpone for one year the 2020 Olympic Games in Tokyo G20 EMERGENCY SUMMIT MOSCOW President Vladimir Putin will take part in the G20 emergency summit on the coronavirus on March 26 the Kremlin press service said On March 26 Russian President Putin will take part in the G20 emergency summit which will be held in the format of a video conference and will focus on the fight against the coronavirus pandemic and its impact on global economy the statement said Shortly before Kremlin Spokesman Dmitry Peskov told TASS that Russia had been invited to a G20 emergency summit on the coronavirus UNITED NATIONS United Nations Secretary General Antonio Guterres has called on the Group of Twenty nations to lift all sanctions against other countries in the wake of the novel coronavirus pandemic I am encouraging the waiving of sanctions imposed on countries to ensure access to food essential health supplies and COVID19 medical support This is the time for solidarity not exclusion he wrote in a letter to the G20 leaders circulated on Tuesday DEVELOPMENTS IN SYRIA GENEVA UN Secretary Generals Special Envoy for Syria Geir Pedersen thinks that the current ceasefire in Syrias Idlib is fragile and that fighting may resume at any moment which will be disastrous for the local population in the conditions of the novel coronavirus COVID19 pandemic The risk of a coronavirus epidemic in Syria Libya and other trouble spots may bring about catastrophic effects in view of the grave humanitarian situations there general director of the Russian International Affairs Council Andrei Kortunov said in the wake of UN SecretaryGeneral Antonio Guterress call for global ceasefire TASS Kurdish forces making up the Syrian Democratic Forces SDF coalition have agreed to establish a ceasefire to concentrate all efforts on countering the coronavirus pandemic The SDF command is proposing that all parties to the Syrian conflict support the initiative of UN SecretaryGeneral Antonio Guterres for a universal ceasefire says the statement communicated by AlHadath TV
20200403_RU_ITAR TASS_NEXIS622410.txt,Raw text/RUClean/20200403_RU_ITAR TASS_NEXIS622410.txt,RU,ITAR,20200403,3,BELGRADE April 3 TASS More Russian military transport planes with humanitarian assistance for fighting the coronavirus epidemic will be sent to Serbia on April 4 the press service of the Russian embassy in Belgrade said on Friday Planes with Russian aid continue to arrive Eleven flights are planned for April 34 it said By now three Russian Ilyushin Il76 have arrived in Serbia and delivered military medics virologists of the Russian radiation chemical and biological defense forces special medical equipment protective gear and military hardware The fourth plane is on its way to Serbia Russia which is fighting against the epidemic inside the country could not but help friendly Serbia and the brotherly Serbian people facing the most serious challenges Russias Ambassador to Serbia Alexander BotsanKharchenko said in a press statement Highlyqualified specialists who have profound professional knowledge and rich practical skills who are ready to spare no effort to fight shoulder to shoulder with their Serbian colleagues against the invisible enemy have been sent to Serbia the diplomat stressed Russias assistance reflects the highest level of bilateral relations and proves that our partnership has a really strategic character We are convinced that sincere solidarity and mutual support will help us overcome these trials restore conditions for normal life of people and further successful development of our countries Russia started to deliver aid to Serbia from April 3 on the instruction from Russian President Vladimir Putin Serbian President Aleksandar Vucic held telephone talks with President Putin on April 2 The Kremlin press office reported after the talks that Russia would provide humanitarian assistance to Serbia and send doctors and disinfection specialists to the Balkan country As of 300 pm local time 400 pm Moscow time on April 3 the number of coronavirus cases in Serbia grew to 1476 while the virus death toll climbed to 39 people Serbia has fully closed its borders declared a state of emergency and imposed a curfew The Serbian authorities have cancelled the parliamentary elections and halted the interurban bus and railway service People aged above 65 are prohibited to leave their homes
20200410_RU_Sputnik_NEXIS624449.txt,Raw text/RUClean/20200410_RU_Sputnik_NEXIS624449.txt,RU,Sputnik,20200410,5,ST PETERSBURG April 10 Sputnik Counties that receive massive flows of refugees and migrants are in urgent need of tools and resources to protect them and provide adequate health care to vulnerable groups under the conditions of the COVID19 pandemic Director General of the World Health Organization Tedros Adhanom Ghebreyesus said at the opening session of the online St Petersburg International Legal Forum which kicked off on Friday In the rush of procedures and measures it is critical that we protect our most vulnerable populations Populations in the humanitarian settlements are particularly at risk There are few resources and little access to health care and basic infrastructure which put all communities at risk Countries which have been given responsibility of accommodating these vulnerable populations must be given necessary tools and resources to protect them and to provide them with the support they need the director general stated The WHOs head also pointed to the counties obligation to respect human rights and dignity of all groups and communities when implementing various restrictive measures amid the coronavirus outbreak Many counties have put in place very restrictive measures This include closing borders declaration of a national state of emergency closing schools and putting on quarantine the entire cities or countries These unprecedented measures are driven by the desire to protect their populations to stop the spread of the virus However in implementing these measures there is a need to respect human rights and dignity as provided by the international health regulations and international conventions Tedros stated International human rights organizations and advocacy groups have long been sounding alarm over the fragility of migrant facilities before and during the COVID19 pandemic due to the lack of adequate hygiene conditions and impossibility of ensuring proper social distancing there Among these countries which accommodate migrants are Spain Greece Portugal and others In addition last week United Nations spokesperson Stephane Dujarric said that SecretaryGeneral Antonio Guterres also stressed the need to bring about a coordinated international response to the COVID19 pandemic that would encompass vulnerable communities including migrants refugees and internally displaced individuals as well as aid those who need help
20200404_RU_Sputnik_NEXIS624440.txt,Raw text/RUClean/20200404_RU_Sputnik_NEXIS624440.txt,RU,Sputnik,20200404,3,MOSCOW April 4 Sputnik US sanctions are drastically hindering Irans ability to combat the spread of COVID19 which has already killed more than 3000 people in the country the Iranian ambassador to Belgium Gholamhossein Dehghani wrote in a letter to the EUs foreign policy chief Josep Borrell The US unilateral and illegal sanctions imposed on Iran under the guise of the maximum pressure campaign undermine Iran is ability to effectively fight the virus in the long run without international support Dehghanis letter read as quoted by the staterun Mehr news agency on Saturday Dehghani referred to the shortage of vital medical equipment in Iran and cited the support that Iran has received in several international organizations for the lifting of sanctions Iran is request for rejecting the US inhumane sanctions has been welcomed by some international organizations and the relevant officials have described the continued economic sanctions in violation of the rights of ordinary citizens to enjoy their basic rights the ambassador said as quoted by the agency In late March the permanent UN representatives of Russia China Syria Cuba North Korea Iran Nicaragua and Venezuela sent a letter to SecretaryGeneral Antonio Guterres calling for the lifting of US unilateral sanctions on several countries amid the global pandemic UN UnderSecretaryGeneral for Humanitarian Affairs and Emergency Relief Coordinator Mark Lowcock and General Assembly President Tijjani MuhammadBande have both urged the US to ease sanctions during the COVID19 outbreak However a Russiadrafted General Assembly resolution calling for solidarity and global sanctions relief was blocked by the US EU UK Ukraine and Georgia on Thursday
20200611_RU_RT_SERP120254.txt,Raw text/RUClean/20200611_RU_RT_SERP120254.txt,RU,RT,20200611,3,Sun International paid over R2m to the Solidarity Fund DURBAN Sun International has paid over R2 million to the Solidarity Fund after more than 15000 members of its loyalty programme pledged their leisure points for this purpose At the start of the national lockdown the company froze all leisure and casino points accumulated by its Most Value Guests MVGs Each leisure point represents R1 in value and can ordinarily be redeemed at any hotel or leisure facility within the group Sun International Chief Executive Anthony Leeming said We were considering practical ways to respond to the crisis when a number of our MVGs asked us to set up a charity fund to which they could contribute The points represent a hard cost to us that we would have to pay over to whichever property they are redeemed at so it made sense to divert the rand value of donated points to the Solidarity Fund instead Right now we are all focused on fighting the Covid19 virus but a bigger economic battle is looming The hospitality gaming and leisure industry has been particularly hard hit so the economic hardships facing smaller businesses and individuals resonates deeply with us We applaud the many MVGs who responded with compassion and generosity added Leeming The Solidarity Fund Interim Chief Executive of The Solidarity Fund Nomkhita Nqweni expressed her appreciation It is through the collective efforts of contributors like Sun International and their 15 000 customers that enables The Solidarity Fund to support the national health response contribute to humanitarian relief efforts and mobilise South Africans to drive a united response to the Covid19 This generous donation will directly benefit those impacted by the pandemic and help The Solidarity Fund to make a real difference by providing Personal Protective Equipment to our frontline health workers testing kits and food relief to vulnerable communities amongst other important initiatives said Nqweni Sun International is one of six loyalty programmes whose members to have exercised the option to donate to the Solidarity Fund and is the only hospitality and casino group to do so BUSINESS REPORT ONLINE
20200312_RU_Sputnik_NEXIS624588.txt,Raw text/RUClean/20200312_RU_Sputnik_NEXIS624588.txt,RU,Sputnik,20200312,4,MOSCOW March 12 Sputnik The US Department of Defense has introduced travel restrictions for its military and civilian personnel as well as their family members to countries most severely affected by the new coronavirus diseases COVID19 for the next two months effective Friday according to a memo from Defense Secretary Mark Esper Effective March 13 2020 all DoD uniformed personnel civilian personnel and family members traveling to from or through Centers for Disease Control and Prevention CDC Travel Health Notices Level 3 COVID19 designated locations will stop movement for the next 60 days the memo read The CDC Warning Level 3 means widespread sustained transmission the list currently includes China Italy South Korea Iran Venezuela as well as all 29 member states of the European Union According to the Pentagon memo exceptions might be granted to overseas trip 1 determined to be mission essential 2 necessary for humanitarian reasons 3 warranted due to extreme hardship Also effective Friday the United States is suspending for 30 days the entry of European nationals and travelers from Europe save for the United Kingdom as per US President Donald Trump is proclamation announced earlier in the day whereas US nationals and permanent residents along with their family members are exempt from this ban The infection toll in the US currently stands at 938 with 29 fatalities The toll worldwide is over 118000 cases with 4292 fatalities according to the latest situation report from the World Health Organization after it proclaimed COVID19 a pandemic
20200407_RU_Sputnik_GNAPI65841.txt,Raw text/RUClean/20200407_RU_Sputnik_GNAPI65841.txt,RU,Sputnik,20200407,4,New Delhi Sputnik On Saturday US President Donald Trump asked India to release hydroxychloroquine an antimalarial drug to treat COVID19 The Indian Commerce Ministry had earlier banned the export of the drug and its formulas without any exceptionsThe Indian External Affairs Ministry on Tuesday confirmed that the country will be supplying the antimalarial drug hydroxychloroquine HCQ to the US and other neighbouring countries In view of the humanitarian aspects of the pandemic it has been decided that India would license paracetamol and HCQ in appropriate quantities to all our neighbouring countries which are dependent on our capabilities We will also be supplying these essential drugs to some nations who have been particularly badly affected by the pandemic Indian External Affairs Ministry spokesperson Anurag Srivastava said while discouraging any speculation or attempts to politicise the matter India has claimed that with its stocks it has the capacity to produce over 200 million tablets every month On Saturday US President Donald Trump said that he had asked India to supply HCQ to the US The External Affairs Ministry has discouraged politicisation of the issue while also taking into consideration Trumps remark on Monday where he threatened India with retaliation if Prime Minister Narendra Modi did not supply the malarial drug to the US India does very well with the United States Trump said at coronavirus briefing on 6 April Trump added that hed be surprised if Modi doesnt allow hydroxychloroquine shipments If he doesnt allow it to come out of course there may be retaliation Why wouldnt there be POTUS said The Indian External Affairs Ministry however has stated that sections of the media are trying to create unnecessary controversy over the issue of COVID19related drugs and pharmaceuticals The ministry later assured that the country has adequate stocks of medicine for its own people and while referring to an earlier ban said that it was a temporary step to restrict exports of a number of pharmaceutical products After having confirmed the availability of medicines for all possible contingencies currently envisaged these restrictions have been largely lifted The DGFT has notified lifting restrictions on 14 drugs yesterday With regard to paracetamol and Hydroxychloroquine HCQ they will be kept in a licensed category and their demand position would be continuously monitored However the stock position could allow our companies to meet the export commitments that they had contracted the ministry spokesperson said On Monday the Indian Health Ministry also dismissed US claims of HCQ being an effective treatment for COVID19 which the US president has been promoting following hopeful studies in France and China The COVID19 pandemic so far has infected almost 1350000 people around the world killing almost 75000 As per data available European countries and the US are those most affected by the pandemic Over 360000 cases have already been confirmed in the US with almost 11000 deaths
20200221_RU_ITAR TASS_GDELT69591.txt,Raw text/RUClean/20200221_RU_ITAR TASS_GDELT69591.txt,RU,ITAR,20200221,8,MOSCOW February 21 TASS Russia coordinates actions to prevent the spread of the novel coronavirus with China through diplomatic channels Kremlin Spokesman Dmitry Peskov told reporters on Friday He noted though that any discriminatory measures were out of the question We cherish our relations with the Peoples Republic of China All actions are being coordinated with China The Chinese leadership is informed through diplomatic channels Peskov said stressing that Russia is in full solidarity with China Of course any discriminatory actions are out of the question the Kremlin spokesman highlighted commenting on remarks by Moscow Mayor Sergei Sobyanin that to prevent the spread of the novel coronavirus in the Russian capital every person returning from China is issued a prescription on a twoweek isolation at the place of residence or stay and a sick leave Peskov added that there should be some measures which prevent the penetration of the coronavirus into our country According to the Kremlin spokesman steps taken by the government prove effective Measures must be taken and the primary goal is to protect Russians and our country from the penetration of the novel coronavirus he commented He recalled that Russia provided humanitarian aid to China and offered any other assistance that could be necessary Moscow Mayor Sergei Sobyanin earlier said on his website that every person returning from China was issued a prescription on a twoweek isolation at ones place of residence or stay and a sick leave in order to prevent the spread of the novel coronavirus A total of 2500 such orders have been issued by now That means that any person coming from China should not leave his or her apartment or hotel for two weeks According to the mayor no novel coronavirus cases have been recorded in Moscow so far The outbreak of the nowinfamous novel coronavirus pneumonia was recorded in Wuhan an economic and industrial metropolis in late December 2019 The World Health Organization has declared it a public health emergency of international concern describing it as an epidemic with multiple locations Apart from China 25 other countries including Russia have reported confirmed coronavirus cases
20200301_RU_Sputnik_NEXIS624750.txt,Raw text/RUClean/20200301_RU_Sputnik_NEXIS624750.txt,RU,Sputnik,20200301,6,Adds quote on closing borders from WHO Director General in para 45 background information in paras 69 RIYADH March 1 Sputnik The World Health Organization is Director General Tedros Adhanom Ghebreyesus stated at the 2nd Riyadh International Humanitarian Forum on Sunday that Italy will manage the novel coronavirus outbreak in the country as soon as possible because it has strong institutions What is good about Europe is that they have strong institutions Ghebreyesus said noting the reason why the European countries can quickly address the issue So thats what I believe but as I was saying last week its not just about Italy there could be surprises in other EU countries But even for Italy since they have strong institutions I know they will manage it as quickly as possible he added He also touched upon the issue of closing borders to combat the spread of the virus There are many ways many strategies that we use the country should asses its situation understand the risk assess the risk and then take measures proportional to the risk would be its up to the country Ghebreyesus said So far Italy has recorded more than 1000 cases of the coronavirus disease which marks the highest number of infected people in Europe The death toll in the country stood at 29 Meanwhile on a global scale to date the coronavirus disease has infected over 85000 people of whom 2900 have died and nearly 40000 have recovered The novel coronavirus was first detected in China in late December and has since spread to more than 50 countries prompting the World Health Organization WHO to declare a global health emergency So far the virus infected more than 79000 people in mainland China while over 2800 people died and nearly 40000 have recovered According to the latest WHO data the number of those infected outside China has reached 4691 while 67 people have died
20200323_RU_Sputnik_NEXIS624330.txt,Raw text/RUClean/20200323_RU_Sputnik_NEXIS624330.txt,RU,Sputnik,20200323,6,UNITED NATIONS March 23 Sputnik The United Nations will launch a global humanitarian appeal this week asking for 2 billion to respond to the coronavirus COVID19 pandemic crisis UN SecretaryGeneral Antonio Guterres told reporters on Monday I appeal for the international community to fully support those measures they will be included in a humanitarian review that we will launch on Wednesday asking for 2 billion to allow us to have a humanitarian response more effective in relation to those dramatic situations where COVID19 has needs by itself but at the same time is linked to a desperate situation already in the countries affected According to the UN Office for the Coordination of Humanitarian Affairs a COVID19 Global Humanitarian Response Plan will be launched jointly by the UN chief UnderSecretaryGeneral for Humanitarian Affairs Mark Lowcock World Health Organization DirectorGeneral Dr Tedros Adhanom Ghebreyesus and UN Childrens Fund Executive Director Henrietta Fore According to the Johns Hopkins Coronavirus Resource Center 354677 people have contracted the virus worldwide while more than 15430 died
